OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),DefaultData,TotalGHGEmissions
1,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,0659000030,DOWNTOWN,1927,1.0,12,88434,0,88434,7226362.5,7456910.0,False,249.98
2,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,0659000220,DOWNTOWN,1996,1.0,11,103566,15064,88502,8387933.0,8664479.0,False,295.86
3,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,Seattle,WA,0659000475,DOWNTOWN,1969,1.0,41,956110,196718,759392,72587024.0,73937112.0,False,2089.28
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,WA,0659000640,DOWNTOWN,1926,1.0,10,61320,0,61320,6794584.0,6946800.5,False,286.43
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,WA,0659000970,DOWNTOWN,1980,1.0,18,175580,62000,113580,14172606.0,14656503.0,False,505.01
9,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,WA,0660000560,DOWNTOWN,1999,1.0,2,97288,37198,60090,12086616.0,12581712.0,False,301.81
10,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,0660000825,DOWNTOWN,1926,1.0,11,83008,0,83008,5758795.0,6062767.5,False,176.14
11,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,WA,0660000955,DOWNTOWN,1926,1.0,8,102761,0,102761,6298131.5,7067881.5,False,221.51
12,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,WA,0939000080,DOWNTOWN,1904,1.0,15,163984,0,163984,13723820.0,14194054.0,False,392.16
15,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,Seattle,WA,0942000145,DOWNTOWN,1969,1.0,11,153163,19279,133884,16016644.0,16646930.0,False,691.26
16,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,Seattle,WA,0942000165,DOWNTOWN,1998,1.0,25,333176,61161,272015,26941110.0,27070114.0,False,740.97
17,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,WA,0942000210,DOWNTOWN,1928,1.0,9,65009,0,65009,6596057.5,6358719.5,False,328.23
18,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,WA,0942000235,DOWNTOWN,1980,1.0,33,315952,57600,258352,22325364.0,22524948.0,False,648.62
19,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,WA,0942000265,DOWNTOWN,1922,1.0,11,92190,25200,66990,10750010.0,11179203.0,False,511.39
21,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,Seattle,WA,0942000275,DOWNTOWN,2004,1.0,11,412000,57000,355000,18588860.0,18706912.0,False,181.38
22,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,Seattle,WA,0942000350,DOWNTOWN,1930,1.0,6,103911,0,103911,9956396.0,10192124.0,False,433.86
23,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,Seattle,WA,0942000430,DOWNTOWN,1983,1.0,28,416281,85000,331281,33556756.0,34351920.0,False,802.89
24,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,WA,0942000510,DOWNTOWN,1907,1.0,5,57452,0,57452,7606084.5,7877219.0,False,273.02
25,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,WA,0942000610,DOWNTOWN,1916,1.0,10,104352,0,104352,10154608.0,10154608.0,False,349.32
26,NonResidential,Other,King County Courthouse,516 3RD AVE,Seattle,WA,0942000860,DOWNTOWN,1916,1.0,10,540360,0,540360,44984468.0,47023088.0,False,1265.29
27,NonResidential,Other,King County Correctional Facility,500 5TH AVE,Seattle,WA,0942001010,DOWNTOWN,1985,1.0,19,385274,0,385274,47859812.0,49539212.0,False,1699.45
28,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,Seattle,WA,1102000138,SOUTHEAST,1961,1.0,2,56228,0,56228,1539478.5,1713623.5,True,38.53
29,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,WA,1142000755,NORTHEAST,2001,1.0,6,88592,30586,58006,3663534.5,3673186.75,False,90.01
30,NonResidential,University,Main Campus Center,1000 Lenora St.,Seattle,WA,0660001420,DOWNTOWN,1928,1.0,7,126593,0,126593,11343686.0,12183313.0,False,388.04
31,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,WA,0660001725,DOWNTOWN,1930,1.0,2,67224,0,67224,1310236.625,1310236.625,False,9.13
32,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,WA,0660001832,EAST,1991,1.0,8,158676,30301,128375,5328051.5,5424942.0,False,256.57
33,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,Seattle,WA,0660002680,DOWNTOWN,2001,1.0,10,171866,38281,133585,11061916.0,11171407.0,False,328.63
35,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,WA,0697000170,DOWNTOWN,1978,1.0,5,68410,16200,52210,4456714.5,4557974.0,False,128.44
36,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,Seattle,WA,0752000170,NORTH,1949,1.0,2,160645,0,160645,6779173.0,7800349.5,True,270.18
38,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,Seattle,WA,0825049008,LAKE UNION,1906,1.0,3,87262,0,87262,4145920.5,4703690.0,False,157.77
40,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,WA,0925049117,NORTHEAST,1994,1.0,4,81871,0,81871,6668568.5,6731281.5,False,215.0
41,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,Seattle,WA,0925049330,NORTHEAST,1955,1.0,2,110356,0,110356,318364.8125,326223.0938,False,3.93
43,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,Seattle,WA,0022000005,GREATER DUWAMISH,1992,1.0,3,494835,0,494835,448385312.0,471613856.0,False,16870.98
46,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,Seattle,WA,0323049024,GREATER DUWAMISH,1961,3.0,2,714095,0,714095,44731160.0,44110016.0,False,311.84
50,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,WA,0369000400,MAGNOLIA / QUEEN ANNE,1990,1.0,2,54986,0,54986,1650279.25,1802471.375,False,31.47
51,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,Seattle,WA,0425049022,NORTHEAST,1950,1.0,2,175565,0,175565,6399127.5,7329817.5,True,266.05
52,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,WA,0467000429,BALLARD,1961,1.0,2,94900,0,94900,6186461.5,6536359.5,False,130.56
53,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,WA,0570000340,GREATER DUWAMISH,1900,1.0,2,52554,0,52554,2951331.25,3150635.5,False,83.86
54,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,WA,0625049002,NORTHWEST,1954,1.0,3,175015,0,175015,6994740.5,7886505.5,False,247.85
55,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,Seattle,WA,0653000225,DOWNTOWN,1911,1.0,3,70586,0,70586,2158629.0,2331573.25,False,45.43
56,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,Seattle,WA,1975700040,DOWNTOWN,1969,1.0,24,332210,205970,126240,16163194.0,16163194.0,False,295.33
57,NonResidential,Large Office,5th and Pine,413 Pine Street,Seattle,WA,1975700200,DOWNTOWN,1973,1.0,5,168115,0,168115,9536161.0,9536161.0,False,66.48
58,NonResidential,Other,1525 4th Avenue,1525 4th Ave,Seattle,WA,1975700365,DOWNTOWN,1920,1.0,2,57428,0,57428,1247362.0,1239429.75,False,33.26
59,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,Seattle,WA,1975700380,DOWNTOWN,1910,1.0,8,59400,0,59400,5071974.0,5242479.5,False,35.36
60,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,Seattle,WA,1975700525,DOWNTOWN,1926,1.0,2,52549,0,52549,15026196.0,15683742.0,False,584.31
62,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,Seattle,WA,1976700010,DOWNTOWN,1930,1.0,20,98634,10043,88591,4841347.5,5078816.0,False,59.19
63,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,Seattle,WA,1976700095,DOWNTOWN,1982,1.0,34,994212,146694,847518,80469216.0,82318072.0,False,2451.58
65,NonResidential,Hotel,Inn at the Market,86 Pine St,Seattle,WA,1977200050,DOWNTOWN,1985,1.0,7,71150,0,71150,5348309.0,5348309.0,False,134.38
66,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,Seattle,WA,1977201035,DOWNTOWN,1908,1.0,7,122810,0,122810,5401277.5,6088417.5,False,227.18
67,NonResidential,Hotel,QUALITY INN,618 JOHN ST,Seattle,WA,1991200730,LAKE UNION,1959,1.0,5,113173,42546,70627,5284343.5,5428403.5,False,144.79
68,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,Seattle,WA,1991200935,LAKE UNION,2000,1.0,7,150453,34735,115718,6715187.0,6835263.5,False,199.95
69,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,Seattle,WA,1991200940,LAKE UNION,1997,1.0,6,116300,28200,88100,5827595.5,5941927.0,False,162.39
70,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,Seattle,WA,1992200235,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,36744,118858,6836900.0,6849826.5,False,152.76
73,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,Seattle,WA,2125049015,EAST,1911,1.0,3,56072,0,56072,3234787.75,3800842.5,False,146.34
77,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,Seattle,WA,2249000170,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,44891,78051,5337334.0,5387530.0,False,171.64
82,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,Seattle,WA,2254501944,CENTRAL,1962,1.0,2,54984,0,54984,3375211.0,3630147.25,False,87.98
84,NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,Seattle,WA,2324039001,SOUTHWEST,1922,1.0,5,217603,0,217603,42792072.0,45547252.0,False,1727.11
85,NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,Seattle,WA,2426039059,NORTHWEST,1970,1.0,2,93397,0,93397,16402563.0,16959754.0,False,609.1
86,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,Seattle,WA,2467400430,LAKE UNION,2008,1.0,6,84103,20732,63371,3706100.25,3787499.0,False,67.06
89,NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,Seattle,WA,1978201270,EAST,1965,0.0,3,179014,0,179014,16701055.0,16527711.0,False,430.84
95,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,Seattle,WA,1979200270,EAST,1908,1.0,7,76631,0,76631,7258758.5,7250730.5,False,262.75
96,NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,Seattle,WA,1979200290,EAST,1983,1.0,6,99780,9341,90439,15473117.0,15684371.0,False,481.97
98,NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,Seattle,WA,1983200230,LAKE UNION,1929,1.0,2,58320,0,58320,1049748.625,1243027.75,False,39.06
100,NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,Seattle,WA,1983200325,LAKE UNION,2010,1.0,5,316306,0,316306,13795954.0,13909270.0,False,138.85
102,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,Seattle,WA,1984200065,LAKE UNION,1990,1.0,7,282863,44766,238097,19459304.0,20194606.0,False,526.85
103,Nonresidential COS,Other,Key Arena,334 1st Ave. N,Seattle,WA,1985200003,MAGNOLIA / QUEEN ANNE,1962,1.0,1,389000,0,389000,23658978.0,23736924.0,False,607.41
